Has_QSpecs,Weight,InspectionDate
FALSE,0.5,9/9/2012
FALSE,0.1,6/16/2012
FALSE,0.1,8/2/2012
FALSE,1,2/11/2012
FALSE,0.3,4/28/2012
FALSE,0.1,7/8/2012
FALSE,0.89,9/20/2012
FALSE,27,3/21/2012
FALSE,1,3/25/2012
TRUE,0.26,2/14/2012
FALSE,0.1,2/25/2012
FALSE,10,10/21/2012
FALSE,0.1,6/24/2012
FALSE,8.5,9/5/2012
TRUE,2,11/22/2012
FALSE,0.22,11/22/2012
FALSE,7,9/11/2012
FALSE,974,10/9/2012
FALSE,0.3,5/12/2012
FALSE,0.22,12/27/2012
FALSE,0.1,12/13/2012
FALSE,0.01,12/2/2012
TRUE,0.01,6/13/2012
FALSE,0.22,6/20/2012
FALSE,1,11/5/2012
FALSE,0,4/18/2012
FALSE,3.7,8/19/2012
FALSE,0.01,10/10/2012
FALSE,147,9/11/2012
FALSE,0.1,5/4/2012
FALSE,14.76,8/26/2012
FALSE,0.31,12/23/2012
FALSE,0.1,10/20/2012
FALSE,5,8/7/2012
FALSE,2.07,3/16/2012
FALSE,0.59,12/10/2012
FALSE,0.18,10/2/2012
FALSE,1764,5/16/2012
FALSE,13,9/5/2012
FALSE,3,12/26/2012
FALSE,1.53,12/17/2012
FALSE,0.1,10/2/2012
FALSE,38,8/18/2012
FALSE,0.5,9/24/2012
FALSE,0.1,6/16/2012
FALSE,0.1,9/16/2012
FALSE,1.1,8/8/2012
FALSE,0.1,10/28/2012
FALSE,79,10/7/2012
FALSE,0.36,6/22/2012
FALSE,0.02,3/16/2012
FALSE,0.1,9/11/2012
FALSE,0.1,2/1/2012
FALSE,0.1,4/10/2012
FALSE,0.12,6/9/2012
FALSE,0.1,11/19/2012
FALSE,0.03,6/11/2012
FALSE,0,12/18/2012
FALSE,0.1,9/20/2012
FALSE,1,5/7/2012
TRUE,0.04,4/14/2012
FALSE,4.18,12/16/2012
FALSE,1.01,9/9/2012
FALSE,680,2/24/2012
FALSE,0.5,5/2/2012
FALSE,0.1,1/13/2012
FALSE,0.1,12/19/2012
FALSE,0.1,7/1/2012
FALSE,0.01,12/1/2012
FALSE,2590,5/21/2012
FALSE,0.1,12/16/2012
FALSE,2.27,2/1/2012
FALSE,0.7,9/1/2012
FALSE,0.2,1/5/2012
FALSE,7.5,12/24/2012
FALSE,146,6/9/2012
FALSE,0,8/16/2012
FALSE,143,5/26/2012
FALSE,1,12/1/2012
TRUE,0.04,9/17/2012
FALSE,0.5,1/19/2012
FALSE,0.3,12/4/2012
FALSE,0.05,8/23/2012
FALSE,0.2,12/23/2012
FALSE,36,9/8/2012
FALSE,5.4,1/18/2012
FALSE,0.1,9/19/2012
FALSE,1.4,11/9/2012
FALSE,0.2,7/16/2012
FALSE,11,11/13/2012
FALSE,0.1,10/17/2012
FALSE,0.03,4/21/2012
FALSE,0.09,3/20/2012
FALSE,1,8/10/2012
FALSE,0.03,10/28/2012
FALSE,16.5,7/1/2012
FALSE,0.05,11/26/2012
FALSE,0.1,11/4/2012
FALSE,0.22,10/6/2012
FALSE,3,3/15/2012
FALSE,0.1,2/8/2012
FALSE,1.6,10/14/2012
FALSE,0.22,12/18/2012
FALSE,0.3,3/7/2012
FALSE,0.06,10/28/2012
TRUE,0.06,11/11/2012
FALSE,0.8,4/2/2012
TRUE,0.06,3/28/2012
FALSE,15,11/27/2012
FALSE,0.01,6/7/2012
FALSE,8,11/26/2012
FALSE,1.8,11/19/2012
FALSE,0.01,12/24/2012
FALSE,5.8,8/8/2012
FALSE,9.5,6/14/2012
FALSE,2.06,2/10/2012
FALSE,0.1,2/28/2012
TRUE,1,12/22/2012
FALSE,0.1,3/28/2012
FALSE,0.11,5/23/2012
FALSE,0.1,4/4/2012
FALSE,0.08,8/3/2012
FALSE,0.3,3/20/2012
FALSE,0.1,8/13/2012
FALSE,67,11/19/2012
FALSE,0.1,3/25/2012
FALSE,0.05,8/18/2012
TRUE,0.2,9/22/2012
FALSE,1,10/13/2012
FALSE,0.22,12/15/2012
FALSE,0.1,3/16/2012
FALSE,0.1,4/2/2012
FALSE,0.79,12/20/2012
FALSE,0.1,3/25/2012
FALSE,0.31,5/15/2012
FALSE,0.1,2/20/2012
FALSE,0.1,11/2/2012
FALSE,0.1,1/23/2012
FALSE,21,11/12/2012
FALSE,0.07,9/14/2012
FALSE,0.03,10/2/2012
FALSE,20,10/15/2012
TRUE,0.1,2/28/2012
TRUE,5,4/3/2012
FALSE,0.89,8/18/2012
FALSE,10,5/1/2012
FALSE,0.48,8/13/2012
FALSE,0.01,10/5/2012
FALSE,0.02,12/2/2012
FALSE,0.1,2/15/2012
FALSE,0.22,10/13/2012
FALSE,533,12/7/2012
FALSE,65,6/25/2012
FALSE,0.7,4/27/2012
FALSE,0.3,11/9/2012
FALSE,0.07,9/4/2012
FALSE,0.01,6/24/2012
FALSE,0.08,11/26/2012
FALSE,0,12/28/2012
FALSE,0.1,2/14/2012
FALSE,0.01,1/9/2012
FALSE,0.2,3/1/2012
FALSE,0.1,5/10/2012
FALSE,0.6,3/5/2012
TRUE,0.01,12/19/2012
FALSE,21,10/10/2012
FALSE,0.5,7/11/2012
FALSE,7,5/1/2012
FALSE,0.02,5/28/2012
TRUE,24,5/8/2012
FALSE,15,8/23/2012
FALSE,0.22,2/7/2012
FALSE,0.13,12/25/2012
FALSE,4,4/24/2012
TRUE,0.2,4/14/2012
FALSE,0.1,5/24/2012
FALSE,3000,1/6/2012
FALSE,2.04,2/21/2012
FALSE,0.1,10/7/2012
FALSE,0.01,6/5/2012
FALSE,1.64,1/8/2012
FALSE,0.07,4/16/2012
FALSE,30,2/2/2012
FALSE,0.5,8/7/2012
FALSE,0.1,11/26/2012
FALSE,0.03,1/6/2012
FALSE,0.01,6/3/2012
FALSE,148,6/11/2012
FALSE,0.1,8/10/2012
FALSE,0.1,1/11/2012
FALSE,0.01,6/19/2012
FALSE,0.1,9/22/2012
FALSE,0.3,8/1/2012
FALSE,2,7/2/2012
FALSE,0.1,5/6/2012
FALSE,13,8/16/2012
FALSE,30,10/12/2012
FALSE,0.4,10/12/2012
FALSE,1.04,6/5/2012
FALSE,0,4/27/2012
FALSE,10.26,1/5/2012
FALSE,0.11,5/16/2012
FALSE,0.2,3/14/2012
TRUE,0.1,6/1/2012
FALSE,0.8,4/12/2012
FALSE,0.52,12/8/2012
FALSE,9.1,10/7/2012
FALSE,2,8/10/2012
FALSE,0.1,10/20/2012
FALSE,0.01,11/13/2012
FALSE,1.2,9/14/2012
FALSE,0.06,10/14/2012
FALSE,0.1,6/25/2012
TRUE,67,11/7/2012
FALSE,1.7,12/19/2012
TRUE,0.6,6/14/2012
FALSE,5,7/15/2012
FALSE,1,7/18/2012
FALSE,0.1,3/15/2012
FALSE,175.001,11/5/2012
FALSE,0.06,6/19/2012
FALSE,0.1,6/11/2012
FALSE,450,4/2/2012
FALSE,692,3/10/2012
TRUE,0.07,4/17/2012
FALSE,1,11/18/2012
FALSE,0.1,1/11/2012
FALSE,0.5,5/13/2012
FALSE,1764,8/20/2012
FALSE,1.6,5/3/2012
FALSE,0.1,3/15/2012
FALSE,33,3/6/2012
TRUE,2351,8/24/2012
FALSE,1,6/13/2012
FALSE,0.1,11/19/2012
FALSE,0.01,8/11/2012
FALSE,0,5/26/2012
FALSE,1,7/3/2012
FALSE,0.5,6/26/2012
FALSE,0.7,1/18/2012
FALSE,0.6,11/21/2012
FALSE,0.4,6/20/2012
FALSE,0.1,4/24/2012
FALSE,0.06,5/24/2012
FALSE,0.1,4/8/2012
FALSE,1.7,10/7/2012
FALSE,1.43,2/10/2012
FALSE,0.095,11/13/2012
FALSE,0.1,5/12/2012
FALSE,2,9/10/2012
FALSE,0.16,4/3/2012
FALSE,2.5,11/16/2012
FALSE,1.1,5/3/2012
FALSE,0.1,4/20/2012
FALSE,57,9/12/2012
